Ontology ID	parent class	label	Equivalence axiom	Subclass axiom	definition	definition source	created	term editor	English syn.	British english syn.	Italian syn.	French syn.	german syn.	spanish syn.	portuguese syn.	see also	curation status	comment	image	Curation notes							
	SC % SPLIT=|	AL rdfs:label@en	EC %	SC % SPLIT=|	AL IAO:0000115@en	A IAO:0000119 SPLIT=|	AT dc:date^^xsd:dateTime	A IAO:0000117 SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@en-BR SPLIT=|	AL oboInOwl:hasExactSynonym@it SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	AL oboInOwl:hasExactSynonym@ge SPLIT=|	AL oboInOwl:hasExactSynonym@es SPLIT=|	AL oboInOwl:hasExactSynonym@pt SPLIT=|	A rdfs:seeAlso SPLIT=|	AI IAO:0000114	AL rdfs:comment@en	AI schema:image								
																											
FOODON:00003463	cultivated mushroom	brown mushroom	'fruitbody' and 'has quality' some 'brown' and 'derives from' some 'Agaricus bisporus' and 'sexually immature organism'		A brown-colored immature fruitbody of a cultivated mushroom fungus (Agaricus bisporus).	https://en.wikipedia.org/wiki/Agaricus_bisporus	2020-10-13T05:45:46Z	http://orcid.org/0000-0002-8844-9165	Swiss brown mushroom | Roman brown mushroom | Italian brown | Italian mushroom | cremini | crimini | crimini mushroom | brown cap mushroom | chestnut mushroom								IAO:0000122										
FOODON:00003464	cultivated mushroom	portobello mushroom	'fruitbody' and 'derives from' some 'Agaricus bisporus' and 'adult organism'		A mature fruitbody of a cultivated mushroom fungus (Agaricus bisporus).	https://en.wikipedia.org/wiki/Agaricus_bisporus	2020-10-13T05:45:46Z	http://orcid.org/0000-0002-8844-9165	portabella mushroom | portobella mushroom | portabella | portobello								IAO:0000122										
FOODON:03412032	mushroom (fruitbody)	morel mushroom	'fruitbody' and 'derives from' some 'Morchella'		A fruitbody of a Morchella fungus.	https://en.wikipedia.org/wiki/Morchella	2020-10-27T5:51:29 PMZ	https://orcid.org/0000-0001-5275-8866	morchella esculenta | common morel |morel | yellow morel | true morel | morel mushroom | sponge morel																		
FOODON:03414547	mushroom (fruitbody)	bearded tooth mushroom	'fruitbody' and 'derives from' some 'Hericium erinaceus'		A fruitbody of a Hericium erinaceus fungus.	https://en.wikipedia.org/wiki/Hericium_erinaceus			hericium erinaceus | lion's mane | pom-pom																		
FOODON:03412522	mushroom (fruitbody)	wood blewit	'fruitbody' and 'derives from' some 'Clitocybe nuda'		A fruitbody of a	https://en.wikipedia.org/wiki/Clitocybe_nuda			lepista nuda | tricholoma nudum																		
FOODON:03412073	mushroom (fruitbody)	blusher mushroom	'fruitbody' and 'derives from' some 'Amanita rubescens'		A fruitbody of Amanita rubescens.	https://en.wikipedia.org/wiki/Blusher			amanita rubescens																		
FOODON:03414538	mushroom (fruitbody)	pine bolete	'fruitbody' and 'derives from' some 'Boletus pinophilus'		A fruitbody of a Boletus pinophilus fungus.	https://en.wikipedia.org/wiki/Boletus_pinophilus			boletus pinophilus | pinewood king bolete | pine cep																		
FOODON:03412737	mushroom (fruitbody)	red boletus	'fruitbody' and 'derives from' some 'Leccinum aurantiacum'		A fruitbody of a Leccinum aurantiacum fungus.	https://en.wikipedia.org/wiki/Leccinum_aurantiacum			leccinum aurantiacum | red-capped scaber stalk | boletus rufus																		
FOODON:03412738	mushroom (fruitbody)	rough stemmed boletus	'fruitbody' and 'derives from' some 'Leccinum scabrum'		A fruitbody of a Leccinum scabrum fungus.	https://en.wikipedia.org/wiki/Leccinum_scabrum			leccinum scabrum  | birch boletus |scaber stalk																		
FOODON:03412260	mushroom (fruitbody)	slippery jack mushroom	'fruitbody' and 'derives from' some 'Suillus luteus'		A fruitbody of a Suillus luteus fungus.	https://en.wikipedia.org/wiki/Suillus_luteus			 suillus luteus  | ringed boletus | sticky bun mushroom																		
