FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
FR24052 	SABLE ARLEQUIN, PREPARATION ARTISANALE 	SABLE ARLEQUIN, PREPARATION ARTISANALE 	A0203 B1421 C0208 E0140 F0014 G0005 H0117 H0351 H0231 H0221 H0158 H0185 J0003 K0003 P0024
FR24053 	SABLE QUEEN, PREPARATION ARTISANALE 	SABLE QUEEN, PREPARATION ARTISANALE 	A0203 B1421 C0208 E0140 F0014 G0005 H0117 H0158 H0146 H0221 H0184 H0351 H0186 H0185 J0003 K0003 P0024
FR24054 	SABLE VENITIEN, PREPARATION ARTISANALE 	SABLE VENITIEN, PREPARATION ARTISANALE 	A0203 B1421 C0208 E0140 F0014 G0005 H0117 H0207 H0353 H0158 H0177 H0184 H0221 H0186 J0003 K0003 P0024
FR24055 	SABLE PUR BEURRE 	SABLE PUR BEURRE 	A0203 B1421 C0208 E0140 F0014 G0005 H0136 H0271 H0184 H0185 H0186 J0003 K0003 P0024
FR24056 	SABLE SULTANE, PREPARATION ARTISANALE 	SABLE SULTANE, PREPARATION ARTISANALE 	A0203 B1421 C0208 E0140 F0014 G0005 H0351 H0207 H0221 H0186 H0184 H0158 H0177 H0100 J0003 K0003 P0024
FR24060 	SABLE AU LAIT 	SABLE AU LAIT 	A0203 B1421 C0208 E0140 F0014 G0005 H0186 H0185 H0136 H0184 H0263 H0174 J0003 K0003 P0024
FR24070 	SABLE A LA NOIX DE COCO 	SABLE A LA NOIX DE COCO 	A0203 B1421 C0208 E0140 F0014 G0005 H0136 H0174 H0177 H0186 H0263 J0003 K0003 P0024
FR24075 	SABLE FOURRE PRALINE 	SABLE FOURRE PRALINE 	A0203 B1421 C0208 E0140 F0014 G0005 H0177 H0186 H0221 H0136 H0207 J0003 K0003 P0024
FR24080 	SABLE AU CACAO 	SABLE AU CACAO 	A0203 B1421 C0208 E0140 F0014 G0005 H0186 H0136 H0184 H0231 H0221 J0003 K0003 P0024
FR24085 	SABLE GLACE 	SABLE GLACE 	A0203 B1421 C0208 E0140 F0014 G0005 H0186 H0221 H0184 H0136 J0003 K0003 P0024
FR24100 	CROQUANT, PREPARATION ARTISANALE 	CROQUANT, PREPARATION ARTISANALE 	A0203 B1421 C0208 E0140 F0014 G0005 H0271 H0185 H0186 H0158 J0003 K0003 P0024
FR24110 	GATEAU SEC, PREPARATION ARTISANALE 	GATEAU SEC, PREPARATION ARTISANALE 	A0203 B1421 C0208 E0140 F0014 G0005 H0271 H0186 H0158 J0003 K0003 P0024
FR24200 	GOUTER, NON FOURRE, PREPARATION ARTISANALE 	GOUTER, NON FOURRE, PREPARATION ARTISANALE 	A0203 B1421 C0208 E0140 F0014 G0005 H0221 H0158 J0003 K0003 P0024
FR24220 	CASSE-CROUTE 	CASSE-CROUTE 	A0203 B1421 C0208 E0140 F0014 G0005 H0366 H0173 H0154 H0136 H0262 H0117 H0260 J0003 K0003 P0024
FR24225 	GOUTER FOURRE, SANS SPECIFICATION 	GOUTER FOURRE, SANS SPECIFICATION 	A0203 B1421 C0208 E0140 F0014 G0005 H0366 H0262 H0117 H0260 H0221 H0207 H0136 H0154 H0184 J0003 K0003 P0024
