FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
F2770	ALUMINUM-COATED DRAGEE	ALUMINUM-COATED DRAGEE	A0246 B1012 C0108 E0151 F0001 G0003 H0001 J0001 K0003 M0001 N0042 P0024	
F16992	AMANATTO (DRY CANDIED BEAN)	AMANATTO (DRY CANDIED BEAN)	A0188 B1567 C0133 E0151 F0001 G0003 H0138 H0182 J0116 K0003 M0001 N0001 P0024	
F11535	AMARANTH GRAIN, CEREAL	AMARANTH GRAIN, CEREAL	A0258 B1717 C0155 E0001 F0001 G0001 H0138 J0116 K0003 M0001 N0001 P0024	
F9720	AMARANTH SEED, RAW	AMARANTH SEED, RAW	A0260 B1717 C0155 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F11047	AMBERJACK, RAW	AMBERJACK, RAW	A0267 B2642 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8120	AMERICAN RAZOR CLAM, RAW	AMERICAN RAZOR CLAM, RAW	A0267 B2326 C0173 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8091	AMERICAN SARDINE IN OIL, CANNED	AMERICAN SARDINE IN OIL, CANNED	A0267 B1414 C0173 E0150 F0014 G0003 H0001 J0123 K0026 M0194 N0001 P0024	
F17560	AMERICANO	AMERICANO	A0278 B1329 C0140 E0123 F0003 H0232 J0104 K0003 M0001 N0001 P0024	
F2559	AMINO ACID, SYNTHETIC	AMINO ACID, SYNTHETIC		
F15496	AN	AN	A0152 B1702 C0133 E0144 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F16282	ANCHOVY	ANCHOVY	A0267 B1554 C0173 E0151 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F7785	ANCHOVY FILLET IN OIL	ANCHOVY FILLET IN OIL	A0267 B1554 C0125 E0150 F0001 G0003 H0221 J0001 K0026 M0001 N0001 P0024	
F1901	ANCHOVY FILLET, RAW	ANCHOVY FILLET, RAW	A0267 B1554 C0125 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F7983	ANCHOVY IN BRINE	ANCHOVY IN BRINE	A0267 B1554 C0173 E0150 F0001 G0003 H0173 J0137 K0018 M0001 N0001 P0024	
F2307	ANCHOVY IN OLIVE OIL	ANCHOVY IN OLIVE OIL	A0267 B1554 C0173 E0150 F0001 G0003 H0341 J0001 K0038 M0001 N0001 P0024	
F9500	ANCHOVY PASTE COLORED WITH IRON OXIDE	ANCHOVY PASTE COLORED WITH IRON OXIDE	A0267 B1554 C0173 E0144 F0014 G0003 H0106 J0001 K0003 M0001 N0001 P0024	
F11241	ANCHOVY, DRIED	ANCHOVY, DRIED	A0267 B1554 C0173 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F1918	ANCHOVY, RAW	ANCHOVY, RAW	A0267 B1554 C0173 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F17246	ANCHOVY, SALTED	ANCHOVY, SALTED	A0267 B1554 C0173 E0151 F0001 G0003 H0173 J0001 K0003 M0001 N0001 P0024	
F15609	ANCHOVY, SPICED SUGAR	ANCHOVY, SPICED SUGAR	A0267 B1554 C0173 E0151 F0001 G0003 H0151 H0158 J0001 K0003 M0001 N0001 P0024	
F8485	ANCHOVY-FLAVORED BLACK OLIVE SPREAD	ANCHOVY-FLAVORED BLACK OLIVE SPREAD	A0152 B1170 C0139 E0144 F0001 G0003 H0153 H0227 J0001 K0003 M0001 N0001 P0024	
F10197	ANDES SALMON, RAW	ANDES SALMON, RAW	A0267 B2250 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0061	
F3548	ANFROM CHEESE	ANFROM CHEESE	A0281 B1201 C0245 E0151 F0001 G0003 H0107 J0001 K0003 M0001 N0001 P0024	
F7734	ANGEL FOOD CAKE	ANGEL FOOD CAKE	A0210 B0001 C0001 E0146 F0014 G0005 H0100 H0152 H0158 H0178 H0205 J0001 K0003 M0001 N0001 P0024	
F9193	ANGEL SHARK, RAW	ANGEL SHARK, RAW	A0267 B1138 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F17531	ANGELICA, CANDIED	ANGELICA, CANDIED	A0246 B1377 C0148 E0151 F0001 G0001 H0182 J0146 K0001 M0001 N0001 P0024	
F17532	ANGELICA, CRYSTALLIZED	ANGELICA, CRYSTALLIZED	A0246 B1377 C0148 E0151 F0001 G0001 H0182 J0146 K0001 M0001 N0001 P0024	
F17533	ANGELICA, GLACE	ANGELICA, GLACE	A0246 B1377 C0148 E0151 F0001 G0001 H0182 J0146 K0001 M0001 N0001 P0024	
F17117	ANIMAL AND VEGETABLE FAT AND OIL MIXTURE	ANIMAL AND VEGETABLE FAT AND OIL MIXTURE	A0129 B0001 C0190 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F16696	ANIMAL AND VEGETABLE FAT PRODUCT, MIXED	ANIMAL AND VEGETABLE FAT PRODUCT, MIXED	A0129 B1297 B1579 C0190 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F7105	ANIMAL COOKIE	ANIMAL COOKIE	A0203 B1312 C0208 E0147 F0014 G0005 H0158 H0221 J0001 K0003 M0001 N0001 P0024	
F10719	ANIMAL FAT	ANIMAL FAT	A0129 B1297 C0190 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F17276	ANIMAL FAT, RENDERED	ANIMAL FAT, RENDERED	A0129 B1297 C0190 E0001 F0022 G0001 H0001 J0001 K0003 M0001 N0001 P0024	
F9997	ANIMAL FEED	ANIMAL FEED	A0001 B0001 C0001 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0015	
F1590	ANIMAL FEED, PROCESSED	ANIMAL FEED, PROCESSED	A0004 B0001 C0001 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0013 P0015	
F15718	ANIMAL PROTEIN, HYDROLYZED	ANIMAL PROTEIN, HYDROLYZED	A0129 B1297 C0236 E0151 F0001 G0003 H0277 J0001 K0003 M0001 N0001 P0024	
F4175	ANIMAL SHORTENING	ANIMAL SHORTENING	A0129 B1297 C0190 E0119 F0014 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F1749	ANIMAL TISSUE, RENDERED	ANIMAL TISSUE, RENDERED	A0217 B1297 C0173 E0001 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0015	
F1628	ANIMAL WASTE, RECYCLED FOR ANIMAL FEED	ANIMAL WASTE, RECYCLED FOR ANIMAL FEED	A0004 B1297 C0164 E0001 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0015	
F2243	ANIMAL-DERIVED FLAVOR	ANIMAL-DERIVED FLAVOR	A0215 B1297 C0228 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F2001	ANIMAL-DERIVED FOOD	ANIMAL-DERIVED FOOD	A0217 B1297 C0164 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F1840	ANISE SEED	ANISE SEED	A0113 B1296 C0167 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F4519	ANISE-FLAVORED SYRUP	ANISE-FLAVORED SYRUP	A0215 B1012 C0271 E0119 F0014 G0003 H0117 J0001 K0003 M0001 N0001 P0024	
F7664	ANISETTE TOAST	ANISETTE TOAST	A0178 B1312 C0208 E0124 F0014 G0010 H0138 H0158 H0186 H0229 H0256 J0001 K0003 M0001 N0001 P0024	
F16232	ANISETTE, EMULSIFIED, NON-ALCOHOLIC	ANISETTE, EMULSIFIED, NON-ALCOHOLIC	A0229 B1296 C0155 E0130 F0001 G0003 H0285 H0306 J0001 K0003 M0001 N0001 P0024	
F8836	ANTARCTIC CENTOLLA CRAB, RAW	ANTARCTIC CENTOLLA CRAB, RAW	A0267 B1498 C0173 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F1465	ANTIPASTO	ANTIPASTO	A0208 B0001 C0001 E0104 F0001 G0003 H0143 H0191 H0212 H0221 J0001 K0003 M0001 N0001 P0024	
F11671	AONORI	AONORI	A0004 B2640 C0174 E0151 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F3646	APERITIF BEVERAGE	APERITIF BEVERAGE	A0278 B0001 C0001 E0130 F0001 G0003 H0232 J0104 K0003 M0001 N0001 P0024	
F17687	APERITIF BEVERAGE WITHOUT ALCOHOL, EMULSIFIED	APERITIF BEVERAGE WITHOUT ALCOHOL, EMULSIFIED	A0112 B0001 C0001 E0130 F0001 G0003 H0306 J0001 K0003 M0001 N0001 P0024	
F17565	APERITIF WINE	APERITIF WINE	A0224 B1329 C0140 E0123 F0003 G0003 H0232 J0104 K0003 M0001 N0001 P0024	
