FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
F8235	SEA CRAY, RAW	SEA CRAY, RAW	A0267 B2206 C0173 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F10117	SEA CUCUMBER, SALTED	SEA CUCUMBER, SALTED	A0267 B1021 C0173 E0151 F0001 G0003 H0173 J0103 K0003 M0001 N0001 P0024	
F4180	SEA HERRING, BONELESS, HARD-SMOKED	SEA HERRING, BONELESS, HARD-SMOKED	A0267 B1414 C0125 E0151 F0001 G0003 H0118 J0106 K0003 M0001 N0001 P0024	
F8103	SEA HERRING, RAW	SEA HERRING, RAW	A0267 B1586 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8039	SEA HERRING, SALTED, SMOKED	SEA HERRING, SALTED, SMOKED	A0267 B1586 C0175 E0151 F0001 G0003 H0118 H0173 J0001 K0003 M0001 N0001 P0024	
F8221	SEA SALMON IN OIL, CANNED	SEA SALMON IN OIL, CANNED	A0267 B2250 C0175 E0152 F0014 G0003 H0221 J0123 K0026 M0194 N0001 P0024 Z0061	
F8268	SEA SALMON, RAW	SEA SALMON, RAW	A0267 B2250 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0061	
F8532	SEA SNAIL, CANNED	SEA SNAIL, CANNED	A0267 B1955 C0173 E0150 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024	
F8655	SEA SNAIL, RAW	SEA SNAIL, RAW	A0267 B1955 C0173 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F4812	SEA STEAK MADE FROM COD AND HADDOCK	SEA STEAK MADE FROM COD AND HADDOCK	A0267 B1423 C0268 E0147 F0001 G0003 H0153 J0001 K0003 M0001 N0001 P0024	
F9242	SEA TROUT FILLET, RAW	SEA TROUT FILLET, RAW	A0267 B1479 C0125 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8025	SEA TROUT, RAW	SEA TROUT, RAW	A0267 B1479 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9241	SEA TROUT, RAW, FROZEN	SEA TROUT, RAW, FROZEN	A0267 B1479 C0175 E0151 F0003 G0003 H0003 J0136 K0003 M0001 N0001 P0024	
F4845	SEA TURTLE EGG, RAW	SEA TURTLE EGG, RAW	A0261 B1242 C0194 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F16988	SEA URCHIN PRODUCT	SEA URCHIN PRODUCT	A0267 B2107 C0145 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F9275	SEABOB, RAW	SEABOB, RAW	A0267 B2320 C0173 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F11724	SEAFOOD CHOWDER	SEAFOOD CHOWDER	A0198 B0001 C0001 E0130 F0014 G0003 H0153 J0001 K0003 M0001 N0001 P0024	
F8813	SEAFOOD COCKTAIL	SEAFOOD COCKTAIL	A0267 B1021 C0103 E0134 F0001 G0003 H0227 J0001 K0037 M0001 N0001 P0024	
F4443	SEAFOOD DINNER	SEAFOOD DINNER	A0139 B1021 C0103 E0001 F0018 G0001 H0212 J0001 K0001 M0001 N0001 P0024	
F7965	SEAFOOD FILLET WITH SHRIMP AND CRABMEAT	SEAFOOD FILLET WITH SHRIMP AND CRABMEAT	A0267 B1021 C0268 E0147 F0001 G0003 H0153 J0001 K0003 M0001 N0001 P0024	
F5683	SEAFOOD GUMBO	SEAFOOD GUMBO	A0180 B1021 C0103 E0134 F0001 G0003 H0152 H0212 H0227 J0001 K0003 M0001 N0001 P0024	
F8800	SEAFOOD GUMBO MIX	SEAFOOD GUMBO MIX	A0180 B1021 C0103 E0001 F0001 G0003 H0152 H0212 H0227 J0001 K0003 M0001 N0001 P0024 Z0074	
F4511	SEAFOOD NEWBURG	SEAFOOD NEWBURG	A0267 B1059 C0125 E0110 F0014 G0003 H0151 H0160 H0185 H0242 J0001 K0034 M0001 N0001 P0024	
F4119	SEAFOOD NEWBURG, WITH TEXTURED SOY PROTEIN ADDED	SEAFOOD NEWBURG, WITH TEXTURED SOY PROTEIN ADDED	A0267 B1059 C0125 E0110 F0014 G0003 H0151 H0160 H0185 H0242 H0257 J0001 K0034 M0001 N0001 P0024	
F10961	SEAFOOD PRODUCT, NOT FURTHER SPECIFIED	SEAFOOD PRODUCT, NOT FURTHER SPECIFIED	A0267 B1021 C0164 E0001 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024	
F10929	SEAFOOD PRODUCT, SURIMI-BASED	SEAFOOD PRODUCT, SURIMI-BASED	A0156 B1222 C0268 E0147 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F8493	SEAFOOD SALAD	SEAFOOD SALAD	A0208 B1440 C0125 E0134 F0014 G0003 H0100 H0153 H0221 J0001 K0003 M0001 N0001 P0024	
F4051	SEAFOOD SAUCE	SEAFOOD SAUCE	A0286 B1237 C0173 E0110 F0014 G0003 H0150 H0227 H0297 J0001 K0003 M0001 N0001 P0024	
F9723	SEAFOOD SUSHI	SEAFOOD SUSHI	A0267 B1021 C0103 E0151 F0018 G0003 H0152 H0200 J0001 K0003 M0001 N0001 P0024	
F12026	SEAFOOD, BREADED	SEAFOOD, BREADED	A0267 B1021 C0164 E0001 F0001 G0001 H0188 J0001 K0003 M0001 N0001 P0024	
F5574	SEAFOOD, CANNED	SEAFOOD, CANNED	A0267 B1021 C0103 E0151 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024	
F5677	SEAFOOD, FROZEN	SEAFOOD, FROZEN	A0267 B1021 C0103 E0151 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024	
F10116	SEAFOOD, RAW	SEAFOOD, RAW	A0267 B1021 C0103 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F6461	SEAL MEAT, RAW	SEAL MEAT, RAW	A0150 B1341 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8032	SEAROBIN, RAW	SEAROBIN, RAW	A0267 B2235 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F16662	SEASONING CONCENTRATE	SEASONING CONCENTRATE	A0133 B0001 C0001 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024 Z0074	
F16492	SEASONING CONCENTRATE, LOOSE	SEASONING CONCENTRATE, LOOSE	A0133 B0001 C0001 E0151 F0001 G0001 H0138 J0116 K0001 M0001 N0001 P0024	
F2060	SEASONING MIX	SEASONING MIX	A0133 B0001 C0001 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024 Z0074	
F16611	SEASONING PRODUCT, LOOSE, CONCENTRATE	SEASONING PRODUCT, LOOSE, CONCENTRATE	A0133 B0001 C0001 E0151 F0001 G0001 H0138 J0116 K0001 M0001 N0001 P0024	
F6222	SEASONING SALT	SEASONING SALT	A0134 B1655 C0005 E0143 F0001 G0003 H0106 J0001 K0003 M0001 N0001 P0024	
F16453	SEASONING SUBSTANCE	SEASONING SUBSTANCE	A0133 B0001 C0001 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F16330	SEASONING SUBSTANCE BASED ON LEMON JUICE	SEASONING SUBSTANCE BASED ON LEMON JUICE	A0133 B1275 C0167 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F16183	SEASONING, CITRUS JUICE BASED	SEASONING, CITRUS JUICE BASED	A0133 B1139 C0167 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F16490	SEASONING, POWDERED	SEASONING, POWDERED	A0133 B0001 C0001 E0106 F0001 G0001 H0138 J0116 K0001 M0001 N0001 P0024	
F1189	SEASONINGS	SEASONINGS	A0133 B0001 C0001 E0001 F0001 G0003 H0227 J0001 K0003 M0001 N0001 P0024	
F4820	SEAWEED BYPRODUCT	SEAWEED BYPRODUCT	A0004 B2266 C0150 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F4819	SEAWEED MEAL	SEAWEED MEAL	A0152 B1301 C0247 E0136 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F11281	SEAWEED, DESSICATED	SEAWEED, DESSICATED	A0152 B2266 C0247 E0151 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F4817	SEAWEED, DRIED	SEAWEED, DRIED	A0152 B1301 C0247 E0151 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F15493	SEAWEED, PROCESSED	SEAWEED, PROCESSED	A0152 B1301 C0247 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F4818	SEAWEED, RAW	SEAWEED, RAW	A0152 B1301 C0247 E0150 F0003 G0003 H0001 J0001 K0017 M0001 N0001 P0024	
F7956	SEAWORM, FRIED	SEAWORM, FRIED	A0267 B1021 C0173 E0150 F0014 G0024 H0233 J0001 K0003 M0001 N0001 P0024	
F4535	SECOND CLEARS	SECOND CLEARS	A0149 B1312 C0208 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F4313	SEED SPROUT	SEED SPROUT	A0152 B1347 C0102 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F10170	SEED, TREATED	SEED, TREATED	A0125 B1174 C0155 E0150 F0001 G0003 H0130 J0001 K0003 M0001 N0001 P0024	
F8301	SEI, CANNED	SEI, CANNED	A0267 B1440 C0175 E0151 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024	
F9897	SELTZER WATER	SELTZER WATER	A0241 B1217 C0005 E0123 F0003 G0003 H0109 J0001 K0003 M0001 N0001 P0024	
F3847	SELTZER WATER, FLAVORED	SELTZER WATER, FLAVORED	A0241 B1217 C0005 E0123 F0001 G0003 H0109 H0227 J0001 K0003 M0001 N0001 P0024	
F4659	SELTZER WATER, FLAVORED AND SWEETENED	SELTZER WATER, FLAVORED AND SWEETENED	A0241 B1217 C0005 E0123 F0001 G0003 H0136 H0227 J0001 K0003 M0001 N0001 P0024	
F16148	SEMIHARD CHEESE	SEMIHARD CHEESE	A0312 B1134 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F4494	SEMISOFT CHEESE	SEMISOFT CHEESE	A0281 B1134 C0245 E0151 F0001 G0003 H0107 J0001 K0003 M0001 N0001 P0024	
F1739	SEMISOFT PART SKIM CHEESE	SEMISOFT PART SKIM CHEESE	A0281 B1134 C0245 E0151 F0001 G0003 H0107 H0247 H0253 J0001 K0003 M0001 N0001 P0017 P0024	
F3411	SEMOLINA	SEMOLINA	A0149 B1079 C0208 E0106 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F4877	SENNA TEA LEAF, DRY	SENNA TEA LEAF, DRY	A0268 B2056 C0200 E0100 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F4102	SESAME CHIP	SESAME CHIP	A0228 B1312 C0208 E0153 F0014 G0029 H0146 H0233 H0333 J0001 K0003 M0001 N0001 P0024	
F2464	SESAME EGG TWIST BREAD	SESAME EGG TWIST BREAD	A0178 B1312 C0208 E0151 F0014 G0003 H0186 H0256 H0333 J0001 K0003 M0001 N0001 P0024	
F7657	SESAME GINGER STIR-FRY, FROZEN	SESAME GINGER STIR-FRY, FROZEN	A0172 B1452 C0155 E0104 F0018 G0003 H0152 H0227 H0333 J0136 K0003 M0001 N0001 P0024	
F10122	SESAME MEAL	SESAME MEAL	A0149 B1226 C0133 E0117 F0001 G0003 H0138 H0161 J0001 K0003 M0001 N0001 P0015	
F4153	SESAME MILK BEVERAGE BASE	SESAME MILK BEVERAGE BASE	A0147 B1226 C0155 E0119 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024 Z0088	
F4152	SESAME OIL	SESAME OIL	A0129 B1226 C0190 E0139 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
F10378	SESAME OIL PRESS CAKE	SESAME OIL PRESS CAKE	A0260 B1226 C0133 E0147 F0001 G0003 H0161 J0001 K0003 M0001 N0001 P0015	
F10306	SESAME SEED	SESAME SEED	A0305 B1226 C0133 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F4154	SESAME SEED PASTE	SESAME SEED PASTE	A0305 B1226 C0132 E0119 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F4876	SESAME SEED, HULLED	SESAME SEED, HULLED	A0305 B1226 C0132 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F4874	SESAME SEED, ROASTED	SESAME SEED, ROASTED	A0305 B1226 C0155 E0150 F0014 G0003 H0391 J0001 K0003 M0001 N0001 P0024	
F6372	SEVILLE ORANGE, RAW	SEVILLE ORANGE, RAW	A0143 B1193 C0140 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F4104	SFOGLIATELLE	SFOGLIATELLE	A0222 B1079 C0208 E0147 F0014 G0001 H0143 H0147 H0186 H0207 H0221 H0227 J0001 K0003 M0001 N0001 P0024	
F8316	SHAD, CANNED	SHAD, CANNED	A0267 B1348 C0175 E0151 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024	
F1096	SHAD, CURED, SMOKED	SHAD, CURED, SMOKED	A0267 B1348 C0175 E0151 F0001 G0003 H0118 H0173 H0253 J0106 K0001 M0001 N0001 P0024	
F11002	SHAD, RAW	SHAD, RAW	A0267 B1348 C0175 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024	
F11311	SHAD, SMOKED USING HOT-SMOKING, NITRATE-TREATED	SHAD, SMOKED USING HOT-SMOKING, NITRATE-TREATED	A0267 B1348 C0127 E0151 F0014 G0003 H0118 H0173 H0253 J0100 K0003 M0001 N0001 P0024	
F11312	SHAD, SMOKED USING HOT-SMOKING, NITRITE-TREATED	SHAD, SMOKED USING HOT-SMOKING, NITRITE-TREATED	A0267 B1348 C0127 E0151 F0014 G0003 H0118 H0173 H0253 J0100 K0003 M0001 N0001 P0024	
F7567	SHAKE MIX, ARTIFICIALLY SWEETENED, DRY	SHAKE MIX, ARTIFICIALLY SWEETENED, DRY	A0274 B0001 C0001 E0106 F0001 G0003 H0108 H0117 H0138 J0116 K0003 M0001 N0001 P0024 P0045 Z0089	
F16175	SHALLOT PULP	SHALLOT PULP	A0152 B1538 C0240 E0144 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F11688	SHALLOTS, CHOPPED, IN OIL	SHALLOTS, CHOPPED, IN OIL	A0152 B1538 C0240 E0100 F0003 G0003 H0003 J0001 K0026 M0001 N0001 P0024	
F5720	SHARK FIN, DRIED	SHARK FIN, DRIED	A0267 B1342 C0103 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F8018	SHARK FLAKE	SHARK FLAKE	A0267 B1342 C0268 E0152 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024	
F9413	SHARK MEAT, FROZEN	SHARK MEAT, FROZEN	A0267 B1342 C0175 E0151 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024	
F1751	SHARK MEAT, RAW	SHARK MEAT, RAW	A0267 B1342 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9626	SHARK, RAW	SHARK, RAW	A0267 B1342 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F2652	SHEANUT OIL	SHEANUT OIL	A0260 B1667 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F9289	SHEE FISH, CANNED	SHEE FISH, CANNED	A0267 B2302 C0175 E0151 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024	
F2296	SHEEP CASING	SHEEP CASING	A0150 B1183 C0212 E0150 F0003 G0003 H0173 J0103 K0003 M0001 N0001 P0024	
F16047	SHEEP FAT	SHEEP FAT	A0150 B1183 C0253 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F10563	SHEEP LIVER, RAW	SHEEP LIVER, RAW	A0150 B1183 C0176 E0151 F0003 G0003 H0001 J0001 K0001 M0001 N0001 P0024	
F6743	SHEEP'S MILK	SHEEP'S MILK	A0148 B2610 C0235 E0123 F0018 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F8887	SHEEPSHEAD, RAW	SHEEPSHEAD, RAW	A0267 B1422 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F15468	SHELLFISH	SHELLFISH	A0267 B1433 C0103 E0151 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F16321	SHELLFISH PRODUCT, MARINATED	SHELLFISH PRODUCT, MARINATED	A0267 B1433 C0103 E0001 F0001 G0001 H0227 H0396 J0001 K0001 M0001 N0001 P0024	
F15492	SHELLFISH PRODUCT, PROCESSED	SHELLFISH PRODUCT, PROCESSED	A0267 B1433 C0103 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F5575	SHELLFISH, CANNED	SHELLFISH, CANNED	A0267 B1433 C0103 E0151 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024	
F17173	SHELLFISH, COOKED	SHELLFISH, COOKED	A0267 B1433 C0103 E0151 F0014 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F8654	SHELLFISH, COOKED, FROZEN	SHELLFISH, COOKED, FROZEN	A0267 B1433 C0103 E0151 F0014 G0001 H0001 J0136 K0003 M0001 N0001 P0024	
F15531	SHELLFISH, DEEP-FROZEN, BOILED	SHELLFISH, DEEP-FROZEN, BOILED	A0267 B1433 C0103 E0151 F0014 G0014 H0241 J0001 K0001 M0001 N0001 P0024 Z0112	
F15337	SHELLFISH, DRIED	SHELLFISH, DRIED	A0267 B1433 C0103 E0151 F0001 G0001 H0138 J0116 K0001 M0001 N0001 P0024	
F11186	SHELLFISH, FRIED	SHELLFISH, FRIED	A0267 B1433 C0103 E0151 F0014 G0025 H0233 J0001 K0003 M0001 N0001 P0024	
F8660	SHELLFISH, FROZEN	SHELLFISH, FROZEN	A0267 B1433 C0103 E0151 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024	
F8628	SHELLFISH, RAW	SHELLFISH, RAW	A0267 B1433 C0103 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8629	SHELLFISH, RAW, FROZEN	SHELLFISH, RAW, FROZEN	A0267 B1433 C0103 E0151 F0003 G0003 H0003 J0136 K0003 M0001 N0001 P0024	
F15338	SHELLFISH, SALTED	SHELLFISH, SALTED	A0267 B1433 C0103 E0151 F0001 G0001 H0367 J0103 K0001 M0001 N0001 P0024	
F11185	SHELLFISH, SMOKED	SHELLFISH, SMOKED	A0267 B1433 C0103 E0151 F0001 G0003 H0172 J0001 K0003 M0001 N0001 P0024	
F17129	SHELLFISH-LIKE PRODUCT, FULLY PRESERVED	SHELLFISH-LIKE PRODUCT, FULLY PRESERVED	A0267 B1433 C0127 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F6442	SHEPHERD'S PIE, PIE FILLING	SHEPHERD'S PIE, PIE FILLING	A0150 B1134 C0268 E0134 F0014 G0003 H0212 H0221 H0227 J0001 K0003 M0001 N0001 P0024	
F2854	SHERBET	SHERBET	A0245 B1201 C0113 E0123 F0018 G0003 H0136 H0178 J0136 K0003 M0001 N0001 P0024	
F6642	SHERBET ON WOODEN STICK	SHERBET ON WOODEN STICK	A0245 B1201 C0113 E0123 F0018 G0003 H0136 H0178 J0136 K0003 M0001 N0035 P0024	
F11415	SHERBET, DIETARY	SHERBET, DIETARY	A0245 B1201 C0113 E0123 F0018 G0003 H0178 H0202 J0136 K0003 M0001 N0001 P0023 P0024 P0045	
F15316	SHERBET, FRUIT	SHERBET, FRUIT	A0245 B0001 C0001 E0109 F0001 G0001 H0136 H0147 J0136 K0001 M0001 N0001 P0024	
F10760	SHERRY	SHERRY	A0224 B1329 C0140 E0123 F0001 G0001 H0232 J0104 K0003 M0001 N0001 P0024	
F1324	SHIITAKE MUSHROOM EXTRACT	SHIITAKE MUSHROOM EXTRACT	A0004 B1635 C0228 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F11767	SHIRATAKI NOODLE	SHIRATAKI NOODLE	A0275 B2344 C0238 E0147 F0014 G0003 H0001 J0116 K0003 M0001 N0001 P0024	
F15480	SHIU MY PASTRY CASE	SHIU MY PASTRY CASE	A0107 B1312 C0208 E0119 F0001 G0001 H0119 H0252 J0001 K0001 M0001 N0001 P0024	
F16508	SHORTBREAD CAKE, SMALL	SHORTBREAD CAKE, SMALL	A0210 B1312 C0208 E0147 F0014 G0005 H0158 H0271 J0001 K0001 M0001 N0001 P0024	
F2327	SHORTBREAD COOKIE	SHORTBREAD COOKIE	A0203 B1312 C0208 E0140 F0014 G0003 H0158 H0227 H0271 J0001 K0003 M0001 N0001 P0024	
F3141	SHORTCAKE BISCUIT	SHORTCAKE BISCUIT	A0183 B1312 C0208 E0105 F0014 G0005 H0184 H0221 J0001 K0003 M0001 N0001 P0024	
F1314	SHORTENING	SHORTENING	A0129 B0001 C0190 E0119 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F15246	SHORTENING FOR CAKE MIX	SHORTENING FOR CAKE MIX	A0129 B0001 C0190 E0119 F0022 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F4176	SHORTENING WITH FRESHNESS PRESERVER	SHORTENING WITH FRESHNESS PRESERVER	A0129 B0001 C0190 E0119 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F4163	SHORTENING, COLORED ADDED	SHORTENING, COLORED ADDED	A0129 B0001 C0190 E0119 F0001 G0003 H0150 J0001 K0003 M0001 N0001 P0024	
F4164	SHORTENING, HIGH EMULSIFYING, ARTIFICIALLY FLAVORED	SHORTENING, HIGH EMULSIFYING, ARTIFICIALLY FLAVORED	A0129 B0001 C0190 E0119 F0001 G0003 H0228 J0001 K0003 M0001 N0001 P0024	
F4167	SHORTENING, HYDROGENATED	SHORTENING, HYDROGENATED	A0129 B0001 C0190 E0119 F0001 G0003 H0174 J0001 K0003 M0001 N0001 P0024	
F15165	SHORTENING, LIQUID	SHORTENING, LIQUID	A0129 B0001 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F15270	SHORTENING, MADE WITH EMULSIFIERS	SHORTENING, MADE WITH EMULSIFIERS	A0129 B0001 C0190 E0119 F0014 G0001 H0306 J0001 K0001 M0001 N0001 P0024	
F15271	SHORTENING, PLASTIC	SHORTENING, PLASTIC	A0129 B0001 C0001 E0119 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024	
F4169	SHORTENING, WHIPPED	SHORTENING, WHIPPED	A0129 B0001 C0190 E0119 F0001 G0003 H0358 J0001 K0003 M0001 N0001 P0024	
F4162	SHORTENING, WHITE	SHORTENING, WHITE	A0129 B0001 C0190 E0119 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F11491	SHORTNOSE CISCO, RAW	SHORTNOSE CISCO, RAW	A0267 B2693 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F6412	SHORTS (GRAIN PRODUCT)	SHORTS (GRAIN PRODUCT)	A0149 B1312 C0155 E0136 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0015	
F15796	SHOULDERS, PREPARED	SHOULDERS, PREPARED	A0150 B1134 C0175 E0151 F0014 G0001 H0001 J0001 K0001 M0001 N0001 P0024 Z0043	
F4111	SHOYU CHICKEN SAUCE	SHOYU CHICKEN SAUCE	A0179 B1452 C0133 E0139 F0014 G0003 H0101 H0152 H0173 H0232 H0293 J0135 K0003 M0001 N0001 P0024	
F4988	SHOYU SAUCE	SHOYU SAUCE	A0179 B1452 C0133 E0139 F0014 G0003 H0101 H0152 H0173 H0232 H0293 J0135 K0003 M0001 N0001 P0024	
F3943	SHREDDED WHEAT BREAKFAST CEREAL	SHREDDED WHEAT BREAKFAST CEREAL	A0258 B1312 C0133 E0147 F0014 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F8688	SHRIMP AND FISH FRANKFURTER	SHRIMP AND FISH FRANKFURTER	A0296 B1237 C0173 E0147 F0001 G0003 H0153 H0257 J0001 K0003 M0001 N0001 P0024	
F2325	SHRIMP BALL, FROZEN	SHRIMP BALL, FROZEN	A0267 B1237 C0125 E0147 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024	
F8387	SHRIMP BOUILLON	SHRIMP BOUILLON	A0243 B1237 C0170 E0123 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F3345	SHRIMP CHOP SUEY	SHRIMP CHOP SUEY	A0172 B1395 C0102 E0134 F0001 G0003 H0153 H0227 J0001 K0034 M0001 N0001 P0024	
F8565	SHRIMP COCKTAIL	SHRIMP COCKTAIL	A0267 B1237 C0173 E0134 F0001 G0003 H0227 J0001 K0037 M0001 N0001 P0024	
F7704	SHRIMP COCKTAIL SAUCE	SHRIMP COCKTAIL SAUCE	A0263 B1276 C0140 E0139 F0014 G0003 H0117 H0200 J0001 K0003 M0001 N0001 P0024	
F7048	SHRIMP COCKTAIL, CURRIED, CANNED	SHRIMP COCKTAIL, CURRIED, CANNED	A0267 B1237 C0173 E0134 F0014 G0003 H0227 J0123 K0037 M0194 N0001 P0024	
F5002	SHRIMP CRACKER	SHRIMP CRACKER	A0228 B1312 C0208 E0145 F0001 G0003 H0138 H0153 J0116 K0003 M0001 N0001 P0024	
F8078	SHRIMP CREOLE	SHRIMP CREOLE	A0267 B1237 C0173 E0134 F0001 G0003 H0227 J0001 K0034 M0001 N0001 P0024	
F8673	SHRIMP CREOLE WITH BUTTERED RICE	SHRIMP CREOLE WITH BUTTERED RICE	A0267 B1237 C0173 E0134 F0001 G0003 H0152 H0227 J0001 K0034 M0001 N0001 P0024	
F4227	SHRIMP CURRY	SHRIMP CURRY	A0267 B1237 C0173 E0104 F0001 G0003 H0177 H0227 J0001 K0034 M0001 N0001 P0024	
F8808	SHRIMP CUTLET, BREADED, FROZEN	SHRIMP CUTLET, BREADED, FROZEN	A0267 B1237 C0173 E0147 F0001 G0003 H0188 J0136 K0003 M0001 N0001 P0024	
F2962	SHRIMP EGG ROLL	SHRIMP EGG ROLL	A0103 B1312 C0208 E0105 F0001 G0003 H0153 H0207 H0212 H0227 J0001 K0003 M0001 N0001 P0024	
F8573	SHRIMP FLOUR	SHRIMP FLOUR	A0267 B1237 C0173 E0136 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F8570	SHRIMP FRANKFURTER	SHRIMP FRANKFURTER	A0296 B1237 C0173 E0147 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F4584	SHRIMP FRIED RICE	SHRIMP FRIED RICE	A0125 B1322 C0208 E0150 F0014 G0025 H0153 H0186 H0227 H0233 J0001 K0003 M0001 N0001 P0024	
F3893	SHRIMP GEL, FREEZE-DRIED, FOR FISH FOOD	SHRIMP GEL, FREEZE-DRIED, FOR FISH FOOD	A0267 B1237 C0173 E0140 F0001 G0003 H0138 J0130 K0003 M0001 N0001 P0012	
F8079	SHRIMP HAWAIIAN WITH PINEAPPLE	SHRIMP HAWAIIAN WITH PINEAPPLE	A0267 B1237 C0173 E0150 F0001 G0003 H0147 H0153 H0207 J0001 K0034 M0001 N0001 P0024	
F5290	SHRIMP IN BRINE, CANNED	SHRIMP IN BRINE, CANNED	A0267 B1237 C0173 E0150 F0014 G0003 H0001 J0123 K0018 M0001 N0001 P0024	
F8807	SHRIMP LOG	SHRIMP LOG	A0267 B1237 C0173 E0147 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
