FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
02430 	GROUNDNUTS, RAW, SHELLED 	GROUNDNUTS, RAW, SHELLED 	A0260 B1337 C0155 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
02432 	GROUNDNUTS, SPANISH-VALENCIA 	GROUNDNUTS, SPANISH-VALENCIA 	A0260 B1337 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
02433 	GROUNDNUTS, VIRGINIA TYPE 	GROUNDNUTS, VIRGINIA TYPE 	A0260 B1337 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
02460 	GROUNDNUT BUTTER 	GROUNDNUT BUTTER 	A0260 B1337 C0132 E0144 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02620 	OLIVES, WHOLE, RIPE, PRESERVED 	OLIVES, WHOLE, RIPE, PRESERVED 	A0152 B1170 C0140 E0150 F0001 G0003 H0001 J0001 K0001 M0001 N0001 P0024 Z0052
02681 	SUNFLOWER SEED OIL, REFINED 	SUNFLOWER SEED OIL, REFINED 	A0129 B1547 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
03002 	PUMPKIN SEEDS 	PUMPKIN SEEDS 	A0305 B1456 C0133 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
03311 	COTTONSEED OIL, REFINED 	COTTONSEED OIL, REFINED 	A0129 B1210 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
03312 	COTTONSEED OIL, HYDROGENATED 	COTTONSEED OIL, HYDROGENATED 	A0129 B1210 C0190 E0119 F0001 G0003 H0174 J0001 K0003 M0001 N0001 P0024
03320 	COTTONSEED CUBES 	COTTONSEED CUBES 	A0004 B1210 C0155 E0147 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
03321 	DILL 	DILL 	A0113 B1277 C0150 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
03470 	VEGETABLE OIL, REFINED 	VEGETABLE OIL, REFINED 	A0129 B1017 C0190 E0139 F0001 G0003 H0001 J0001 K0001 M0001 N0001 P0024
03471 	VEGETABLE FATS & EDIBLE OILS 	VEGETABLE FATS & EDIBLE OILS 	A0129 B1017 C0190 E0001 F0001 G0003 H0001 J0001 K0001 M0001 N0001 P0024
03551 	SOUPS 	SOUPS 	A0198 B0001 C0001 E0130 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024
03560 	MARGARINE 	MARGARINE 	A0231 B1017 C0190 E0119 F0018 G0003 H0213 J0135 K0003 M0001 N0001 P0024
03570 	CACAO BUTTER 	CACAO BUTTER 	A0129 B1318 C0190 E0119 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024
03571 	WHEAT GERM OIL, REFINED 	WHEAT GERM OIL, REFINED 	A0129 B1312 C0190 E0130 F0001 G0003 H0001 J0001 K0001 M0001 N0001 P0024
03580 	CABBAGE, FRESH 	CABBAGE, FRESH 	A0152 B1406 C0151 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
