FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
CR2107	SCALLION, RAW	SCALLION, RAW	A0152 B1478 C0150 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2108	SCALLION, COOKED	SCALLION, COOKED	A0152 B1478 C0150 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2109	SCALLION, AGGREGATE (RAW, COOKED)	SCALLION, AGGREGATE (RAW, COOKED)	A0152 B1478 C0150 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2110	GREEN BEAN, AGGREGATE (COOKED, CANNED)	GREEN BEAN, AGGREGATE (COOKED, CANNED)	A0152 B1371 C0169 E0151 F0014 G0001 H0001 J0001 K0001 M0001 N0001 P0024
CR2111	GREEN BEAN, RAW	GREEN BEAN, RAW	A0152 B1371 C0169 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2112	YARDLONG BEAN, AGGREGATE (RAW, COOKED)	YARDLONG BEAN, AGGREGATE (RAW, COOKED)	A0152 B1724 C0158 E0150 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2113	BASIL, AGGREGATE (RAW, COOKED)	BASIL, AGGREGATE (RAW, COOKED)	A0113 B1158 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2114	DILL, AGGREGATE (RAW, COOKED)	DILL, AGGREGATE (RAW, COOKED)	A0113 B1277 C0150 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2115	DILL, RAW	DILL, RAW	A0113 B1277 C0150 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2116	DILL, DRY	DILL, DRY	A0113 B1277 C0174 E0152 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CR2117	ENDIVE, RAW	ENDIVE, RAW	A0152 B1314 C0144 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2118	LEEK, RAW	LEEK, RAW	A0152 B1308 C0100 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2119	LEEK, AGGREGATE (RAW, COOKED)	LEEK, AGGREGATE (RAW, COOKED)	A0152 B1308 C0100 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2120	CABBAGE, COOKED	CABBAGE, COOKED	A0152 B1406 C0151 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2130	CORN, YELLOW, AGGREGATE (COOKED, CANNED)	CORN, YELLOW, AGGREGATE (COOKED, CANNED)	A0152 B1595 C0133 E0150 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2131	CORN, YELLOW, RAW	CORN, YELLOW, RAW	A0152 B1595 C0133 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2132	CORN, YELLOW, FROZEN	CORN, YELLOW, FROZEN	A0152 B1595 C0133 E0150 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024
CR2133	CORN, NOT FURTHER SPECIFIED	CORN, NOT FURTHER SPECIFIED	A0152 B1380 C0133 E0150 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2140	CORN, YELLOW, CREAM-STYLE	CORN, YELLOW, CREAM-STYLE	A0152 B1595 C0133 E0110 F0014 G0001 H0136 J0001 K0003 M0001 N0001 P0024
CR2144	CHINESE KALE, AGGREGATE (RAW, COOKED)	CHINESE KALE, AGGREGATE (RAW, COOKED)	A0152 B2421 C0200 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2145	KALE, RAW	KALE, RAW	A0152 B1281 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2146	KALE, AGGREGATE (COOKED, CANNED)	KALE, AGGREGATE (COOKED, CANNED)	A0152 B1281 C0200 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2147	KALE, FROZEN	KALE, FROZEN	A0152 B1281 C0200 E0151 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024
CR2150	MUSHROOM, AGGREGATE (COOKED, CANNED)	MUSHROOM, AGGREGATE (COOKED, CANNED)	A0152 B1467 C0150 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2151	MUSHROOM, RAW	MUSHROOM, RAW	A0152 B1467 C0150 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2152	CHANTARELLE MUSHROOM, RAW	CHANTARELLE MUSHROOM, RAW	A0152 B1569 C0150 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2153	FALSE MOREL, RAW	FALSE MOREL, RAW	A0152 B2446 C0144 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2154	RAMIE LEAF, AGGREGATE (RAW, COOKED)	RAMIE LEAF, AGGREGATE (RAW, COOKED)	A0152 B2447 C0200 E0150 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2155	RAMIE LEAF, RAW	RAMIE LEAF, RAW	A0152 B2447 C0200 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2156	RAMIE LEAF, DRY	RAMIE LEAF, DRY	A0152 B2447 C0200 E0151 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CR2157	RHUBARB, RAW	RHUBARB, RAW	A0143 B1364 C0101 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2158	RHUBARB, COOKED	RHUBARB, COOKED	A0143 B1364 C0101 E0152 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2159	RHUBARB, AGGREGATE (RAW, COOKED)	RHUBARB, AGGREGATE (RAW, COOKED)	A0152 B1364 C0101 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2160	ONION, AGGREGATE (COOKED, CANNED)	ONION, AGGREGATE (COOKED, CANNED)	A0152 B1300 C0240 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2161	RUTABAGA, RAW	RUTABAGA, RAW	A0152 B1413 C0238 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2162	RUTABAGA, COOKED	RUTABAGA, COOKED	A0152 B1413 C0238 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2163	RUTABAGA, AGGREGATE (RAW, COOKED)	RUTABAGA, AGGREGATE (RAW, COOKED)	A0152 B1413 C0238 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2165	GREEN PEPPER, COOKED	GREEN PEPPER, COOKED	A0152 B2629 C0112 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024 Z0051
CR2167	PEA LEAF, AGGREGATE (RAW, COOKED)	PEA LEAF, AGGREGATE (RAW, COOKED)	A0152 B1338 C0200 E0150 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2168	PEAS, AGGREGATE (COOKED, CANNED, FROZEN)	PEAS, AGGREGATE (COOKED, CANNED, FROZEN)	A0152 B1338 C0133 E0150 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR2169	PEAS, FROZEN	PEAS, FROZEN	A0152 B1001 C0133 E0150 F0003 G0001 H0001 J0136 K0001 M0001 N0001 P0024
CR2170	PEAS, AGGREGATE (COOKED, CANNED)	PEAS, AGGREGATE (COOKED, CANNED)	A0152 B1001 C0133 E0150 F0014 G0001 H0001 J0001 K0001 M0001 N0001 P0024
CR2171	PEAS, RAW	PEAS, RAW	A0152 B1338 C0133 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2172	CHILI, CANNED	CHILI, CANNED	A0172 B1161 C0268 E0134 F0014 G0003 H0212 H0151 H0227 H0120 J0123 K0003 M0194 N0001 P0024
CR2173	PIMIENTO, CANNED	PIMIENTO, CANNED	A0152 B1531 C0169 E0152 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024
CR2174	GREEN PEPPER, RAW	GREEN PEPPER, RAW	A0152 B2629 C0112 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0051
CR2175	SWISS CHARD, RAW	SWISS CHARD, RAW	A0152 B1175 C0200 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CR2176	JALAPENO PEPPER, RAW	JALAPENO PEPPER, RAW	A0152 B1666 C0169 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CR2177	SWEET RED PEPPER, RAW	SWEET RED PEPPER, RAW	A0152 B2630 C0112 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0052
CR2178	SWEET RED PEPPER, COOKED	SWEET RED PEPPER, COOKED	A0152 B2630 C0112 E0152 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024 Z0052
CR2179	YELLOW PEPPER, RAW	YELLOW PEPPER, RAW	A0152 B2631 C0112 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2180	MIXED VEGETABLES, AGGREGATE (COOKED, CANNED)	MIXED VEGETABLES, AGGREGATE (COOKED, CANNED)	A0152 B1579 C0174 E0151 F0014 G0001 H0001 J0001 K0001 M0001 N0001 P0024
CR2181	MIXED VEGETABLES, FROZEN	MIXED VEGETABLES, FROZEN	A0152 B1579 C0174 E0151 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024
CR2185	WATER CHESTNUT, CANNED	WATER CHESTNUT, CANNED	A0152 B1026 C0238 E0151 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024
CR2186	BEAN SPROUT, RAW	BEAN SPROUT, RAW	A0152 B1395 C0183 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR2187	BEAN SPROUT, CANNED	BEAN SPROUT, CANNED	A0152 B1395 C0183 E0150 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024
