FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
CX118-1981 	GLUTEN-FREE FOODS 	GLUTEN-FREE FOODS 	A0001 B0001 C0001 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0023 P0024 P0174
CX119-1981A 	MACKEREL, CANNED 	MACKEREL, CANNED 	A0267 B1043 C0127 E0151 F0014 G0001 H0001 J0123 K0011 M0204 N0001 P0024
CX119-1981B 	JACK MACKEREL, CANNED 	JACK MACKEREL, CANNED 	A0267 B1090 C0127 E0151 F0014 G0001 H0001 J0123 K0011 M0204 N0001 P0024
CX12-1981 	HONEY 	HONEY 	A0118 B1347 C0188 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX120-1981 	BLACK CURRANT JUICE PRESERVED EXCLUSIVELY BY PHYSICAL MEANS 	BLACK CURRANT JUICE PRESERVED EXCLUSIVELY BY PHYSICAL MEANS 	A0127 B1192 C0140 E0109 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
CX121-1981 	BLACK CURRANT JUICE, CONCENTRATED, PRESERVED EXCLUSIVELY BY PHYSICAL MEANS 	BLACK CURRANT JUICE, CONCENTRATED, PRESERVED EXCLUSIVELY BY PHYSICAL MEANS 	A0127 B1192 C0140 E0102 F0014 G0003 H0138 J0123 K0003 M0194 N0001 P0024
CX122-1981 	FRUIT NECTAR, PULPY, PRESERVED EXCLUSIVELY BY PHYSICAL MEANS 	FRUIT NECTAR, PULPY, PRESERVED EXCLUSIVELY BY PHYSICAL MEANS 	A0196 B1231 C0167 E0121 F0014 G0003 H0136 H0200 J0123 K0003 M0194 N0001 P0024
CX123-1981 	RAPESEED OIL, LOW ERUCIC ACID, EDIBLE 	RAPESEED OIL, LOW ERUCIC ACID, EDIBLE 	A0129 B1248 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX124-1981 	COCONUT OIL, EDIBLE 	COCONUT OIL, EDIBLE 	A0129 B1536 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX125-1981 	PALM OIL, EDIBLE 	PALM OIL, EDIBLE 	A0129 B1286 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX126-1981 	PALM KERNEL OIL, EDIBLE 	PALM KERNEL OIL, EDIBLE 	A0129 B1286 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX127-1981 	GRAPESEED OIL, EDIBLE 	GRAPESEED OIL, EDIBLE 	A0129 B2121 C0190 E0139 F0014 G0003 H0001 J0003 K0003 M0001 N0001 P0024
